"","NCTNum","Site","Status","Drug_Bio","Phases","Enrollment","Results","DrugBio","PH","Success"
"73","NCT02748889","Lung","Terminated","Drug: Carboplatin|Drug: Etoposide|Biological: MPDL3280A","15",1,"Has Results","Both",3,0
"74","NCT00303992","Breast","Completed","Biological: trastuzumab|Drug: irinotecan hydrochloride","20",9,"No Results Available","Drug",4,1
"75","NCT00206492","Breast","Terminated","Drug: Iressa|Drug: Tamoxifen","20",3,"No Results Available","Drug",4,0
"76","NCT00084864","Prostate","Terminated","Dietary Supplement: calcitriol|Drug: dexamethasone|Other: clinical observation","20",25,"Has Results","Drug",4,0
"77","NCT00006034","Bladder","Completed","Biological: keyhole limpet hemocyanin|Drug: doxorubicin hydrochloride","30",NA,"No Results Available","Drug",6,1
"78","NCT01493154","Head_Neck","Terminated","Biological: DNA Vaccine|Drug: Cyclophosphamide","10",2,"No Results Available","Drug",2,0
"79","NCT00126542","Ovary","Completed","Biological: bevacizumab|Drug: erlotinib hydrochloride|Other: laboratory biomarker analysis","20",35,"No Results Available","Drug",4,1
"80","NCT00696176","Head_Neck","Completed","Drug: STAT 3 DECOY","05",32,"No Results Available","Drug",1,1
"81","NCT00952692","Breast","Completed","Biological: dHER2 + AS15 ASCI|Drug: Lapatinib","15",12,"No Results Available","Drug",3,1
"82","NCT00006825","Breast","Completed","Biological: trastuzumab|Drug: pegylated liposomal doxorubicin hydrochloride","15",NA,"No Results Available","Drug",3,1
"83","NCT00278187","Lung","Unknown status","Biological: volociximab|Drug: erlotinib hydrochloride","20",NA,"No Results Available","Drug",4,0
"84","NCT00107315","Colorectal","Terminated","Biological: bevacizumab|Drug: capecitabine","20",16,"Has Results","Drug",4,0
"85","NCT00002733","Kidney","Completed","Biological: aldesleukin|Biological: recombinant interferon alfa|Biological: therapeutic tumor infiltrating lymphocytes|Drug: cimetidine","20",30,"No Results Available","Drug",4,1
"86","NCT02465983","Pancreas","Completed","Biological: CART-meso-19 T cells|Drug: Cyclophosphamide","10",4,"No Results Available","Drug",2,1
"87","NCT00206453","Breast","Terminated","Drug: Taxotere","20",25,"No Results Available","Drug",4,0
"88","NCT00577356","Prostate","Terminated","Drug: Docetaxel|Biological: CG1940/CG8711","20",6,"Has Results","Both",4,0
"89","NCT00004925","Breast","Completed","Biological: trastuzumab|Drug: pegylated liposomal doxorubicin hydrochloride","15",NA,"No Results Available","Drug",3,1
"90","NCT00003183","Prostate","Unknown status","Biological: filgrastim|Drug: mitoxantrone hydrochloride","15",64,"No Results Available","Drug",3,0
"91","NCT00732082","Pancreas","Terminated","Drug: Gemcitabine|Biological: LAG-3","10",18,"No Results Available","Both",2,0
"92","NCT00309998","Lung","Completed","Biological: bevacizumab|Drug: vinorelbine tartrate","20",50,"No Results Available","Drug",4,1
"93","NCT01427933","Breast","Completed","Biological: Ramucirumab (IMC-1121B)|Drug: Eribulin","20",141,"Has Results","Drug",4,1
"94","NCT01528137","Lung","Terminated","Biological: talactoferrin|Other: laboratory biomarker analysis","10",4,"No Results Available","Bio",2,0
"95","NCT00060411","Colorectal","Completed","Drug: erlotinib hydrochloride|Drug: fluorouracil|Drug: leucovorin calcium|Drug: oxaliplatin|Biological: bevacizumab","10",24,"No Results Available","Both",2,1
"96","NCT00305825","Breast","Completed","Biological: bevacizumab|Drug: letrozole","20",43,"No Results Available","Drug",4,1
"97","NCT02615574","Colorectal","Withdrawn","Biological: aDC1 vaccine|Drug: CKM","20",0,"No Results Available","Drug",4,0
"98","NCT00020722","Breast","Terminated","Biological: therapeutic autologous lymphocytes|Drug: Ifosfamide, carboplatin, and etoposide (ICE) regimen|Drug: Cyclophosphamide, Thiotepa, Carboplatin (CTC) or STAMP V (CTC)|Procedure: Leukapheresis|Procedure: peripheral blood stem cell transplantation (PBSCT)","20",7,"Has Results","Drug",4,0
"99","NCT00060138","Breast","Completed","Biological: monoclonal antibody CAL|Drug: zoledronic acid","15",NA,"No Results Available","Drug",3,1
"100","NCT00425646","Lung","Completed","Biological: bevacizumab|Drug: imatinib mesylate","20",50,"No Results Available","Drug",4,1
"101","NCT01171469","Brain","Completed","Biological: Dendritic Cells|Drug: Imiquimod","10",8,"No Results Available","Drug",2,1
"102","NCT01167192","Breast","Terminated","Drug: Cisplatin|Drug: Carboplatin|Radiation: Radiation therapy|Procedure: Mastectomy (recommended but not mandatory)","20",10,"Has Results","Drug",4,0
"103","NCT00068588","Breast","Completed","Biological: GTI-2040|Drug: capecitabine","20",24,"Has Results","Drug",4,1
"104","NCT00783172","Pancreas","Terminated","Drug: Gemcitabine|Biological: Opioid Growth Factor (OGF)","10",4,"No Results Available","Both",2,0
"105","NCT00085020","Breast","Completed","Biological: trastuzumab|Drug: lapatinib ditosylate","10",13,"No Results Available","Drug",2,1
"106","NCT00063258","Lung","Terminated","Drug: Tarceva (OSI-774)|Drug: Paclitaxel|Drug: Carboplatin","20",5,"Has Results","Drug",4,0
"107","NCT02427581","Breast","Suspended","Biological: Personalized synthetic long peptide vaccine (Poly ICLC)|Drug: Poly ICLC","10",15,"No Results Available","Drug",2,0
"108","NCT00030342","Colorectal","Completed","Biological: recombinant interferon alfa|Biological: sargramostim|Biological: therapeutic autologous lymphocytes|Drug: fluorouracil","15",60,"No Results Available","Drug",3,1
"109","NCT00049062","Breast","Completed","Drug: anastrozole|Drug: gefitinib","20",NA,"No Results Available","Drug",4,1
"110","NCT00016042","Colorectal","Unknown status","Biological: lymphokine-activated killer cells|Biological: recombinant interferon alfa|Biological: sargramostim|Drug: fluorouracil","10",NA,"No Results Available","Drug",2,0
"111","NCT00711191","Pancreas","Completed","Biological: monoclonal antibody|Drug: chemotherapy","10",22,"Has Results","Drug",2,1
"112","NCT00365547","Lung","Completed","Biological: bevacizumab|Drug: topotecan hydrochloride","20",46,"Has Results","Drug",4,1
"113","NCT01551745","Ovary","Completed","Biological: Vigil™ Vaccine|Drug: Bevacizumab","20",5,"Has Results","Drug",4,1
"114","NCT00521274","Prostate","Terminated","Biological: MVA 5T4|Drug: Docetaxel","20",11,"No Results Available","Drug",4,0
"115","NCT00853125","Kidney","Terminated","Biological: therapeutic allogeneic lymphocytes|Drug: sunitinib malate","20",10,"No Results Available","Drug",4,0
"116","NCT00593866","Pancreas","Completed","Radiation: INTENSITY MODULATED RADIOTHERAPY|Drug: Gemcitabine","15",50,"Has Results","Drug",3,1
"117","NCT00004249","Lung","Completed","Biological: QS21|Biological: keyhole limpet hemocyanin|Drug: polysialic acid","20",NA,"No Results Available","Drug",4,1
"118","NCT00004038","Breast","Completed","Biological: Ad5CMV-p53 gene|Drug: chemotherapy","10",20,"No Results Available","Drug",2,1
"119","NCT00477087","Prostate","Terminated","Drug: Mitoxantrone|Drug: GM-CSF","20",10,"Has Results","Drug",4,0
"120","NCT00066677","Pancreas","Completed","Biological: bevacizumab|Drug: docetaxel","20",46,"No Results Available","Drug",4,1
"121","NCT00659178","Ovary","Completed","Drug: SB-485232 (interleukin 18), pegylated liposomal doxorubicin","10",15,"No Results Available","Drug",2,1
"122","NCT00005021","Lymphoma","Completed","Biological: filgrastim|Drug: carboplatin|Drug: paclitaxel|Drug: topotecan hydrochloride","10",17,"No Results Available","Drug",2,1
"123","NCT00702299","Ovary","Completed","Drug: cisplatin|Drug: paclitaxel|Drug: pemetrexed disodium|Other: biologic sample preservation procedure","10",15,"Has Results","Drug",2,1
"124","NCT02423902","Breast","Unknown status","Biological: Ad-RTS-hIL-12|Drug: Veledimex","15",40,"No Results Available","Drug",3,0
"125","NCT00206505","Breast","Completed","Drug: Taxotere","20",40,"No Results Available","Drug",4,1
"126","NCT00458731","Leukemia","Completed","Biological: bevacizumab|Drug: cediranib maleate","10",57,"No Results Available","Drug",2,1
"127","NCT00045487","Kidney","Completed","Drug: OSI-774","20",41,"Has Results","Drug",4,1
"128","NCT00206427","Breast","Completed","Drug: GW572016|Drug: lapatinib","20",49,"Has Results","Drug",4,1
"129","NCT01386502","Breast","Withdrawn","Biological: p53: 264-272 peptide|Drug: CT-011","10",0,"No Results Available","Drug",2,0
"130","NCT00064103","Head_Neck","Completed","Biological: Ad5CMV-p53 gene|Other: laboratory biomarker analysis","15",51,"No Results Available","Bio",3,1
"131","NCT01313416","Pancreas","Terminated","Biological: CT-011|Drug: Gemcitabine","20",2,"No Results Available","Drug",4,0
"132","NCT00003656","Kidney","Completed","Biological: recombinant interferon alfa|Drug: tretinoin liposome","20",26,"No Results Available","Drug",4,1
"133","NCT00753220","Prostate","Terminated","Biological: VDC2008|Drug: Cyclophosphamide","15",7,"Has Results","Drug",3,0
"134","NCT00448409","Prostate","Completed","Biological: TroVax|Drug: GM-CSF","20",27,"No Results Available","Drug",4,1
"135","NCT00217542","Kidney","Completed","Biological: recombinant interferon alfa-2b|Drug: amifostine/azacitidine","10",42,"No Results Available","Drug",2,1
"136","NCT00405405","Melanoma","Completed","Drug: Cisplatin|Drug: Docetaxel|Drug: Bevacizumab|Drug: Erlotinib|Radiation: Radiotherapy","10",13,"No Results Available","Drug",2,1
"137","NCT00266110","Breast","Completed","Biological: sargramostim|Biological: therapeutic autologous dendritic cells|Biological: trastuzumab|Drug: vinorelbine ditartrate","20",17,"Has Results","Drug",4,1
"138","NCT00400517","Prostate","Completed","Biological: sargramostim|Drug: thalidomide|Procedure: conventional surgery|Procedure: neoadjuvant therapy","20",28,"Has Results","Drug",4,1
"139","NCT01234402","Breast","Completed","Biological: Ramucirumab DP|Biological: IMC-18F1|Drug: Capecitabine","20",153,"No Results Available","Drug",4,1
"140","NCT00002616","Breast","Unknown status","Biological: aldesleukin|Biological: filgrastim|Drug: carboplatin|Drug: cyclophosphamide|Drug: thiotepa|Procedure: peripheral blood stem cell transplantation","10",36,"No Results Available","Drug",2,0
"141","NCT00134069","Colorectal","Completed","Drug: sorafenib tosylate|Drug: cetuximab|Drug: irinotecan hydrochloride","10",48,"No Results Available","Drug",2,1
"142","NCT00019812","Breast","Completed","Biological: trastuzumab|Drug: paclitaxel","20",55,"No Results Available","Drug",4,1
"143","NCT02284971","Prostate","Terminated","Biological: CDX1127|Radiation: SBRT","10",2,"No Results Available","Bio",2,0
"144","NCT02156557","Colorectal","Completed","Biological: Colon KCC Heptapeptide","10",45,"No Results Available","Bio",2,1
"145","NCT00138125","Breast","Terminated","Drug: Faslodex|Biological: Herceptin","20",2,"Has Results","Both",4,0
"146","NCT00179309","Breast","Completed","Drug: Docetaxel|Biological: PANVAC-V|Biological: PANVAC-F|Biological: Sargramostim","20",48,"Has Results","Both",4,1
"147","NCT01919229","Breast","Terminated","Drug: LEE011 (ribociclib)|Drug: letrozole","20",14,"Has Results","Drug",4,0
"148","NCT00638612","Pancreas","Completed","Biological: AdV-tk|Drug: Valacyclovir","10",27,"No Results Available","Drug",2,1
"149","NCT00519831","Lung","Terminated","Biological: cetuximab|Drug: vinflunine","20",18,"Has Results","Drug",4,0
"150","NCT00137878","Colorectal","Completed","Drug: TNFerade™","20",NA,"No Results Available","Drug",4,1
"151","NCT00971737","Breast","Unknown status","Biological: allogeneic GM-CSF-secreting breast cancer vaccine|Biological: trastuzumab|Drug: cyclophosphamide","20",60,"No Results Available","Drug",4,0
"152","NCT00083031","Breast","Unknown status","Biological: bevacizumab|Drug: cyclophosphamide|Drug: methotrexate","20",NA,"No Results Available","Drug",4,0
"153","NCT00009919","Kidney","Terminated","Drug: semaxanib","20",50,"No Results Available","Drug",4,0
"154","NCT00002470","Lung","Completed","Biological: recombinant interferon alfa|Drug: fluorouracil","20",NA,"No Results Available","Drug",4,1
"155","NCT00541099","Lung","Completed","Biological: bevacizumab|Drug: docetaxel","20",11,"Has Results","Drug",4,1
"156","NCT00601796","Lung","Completed","Biological: Vaccine Treatment|Drug: Cyclophosphamide|Drug: All-trans retinoic acid (ATRA)","20",24,"Has Results","Drug",4,1
"157","NCT00006108","Breast","Completed","Biological: trastuzumab|Drug: capecitabine|Drug: paclitaxel","15",NA,"No Results Available","Drug",3,1
"158","NCT01505166","Colorectal","Terminated","Biological: Vigil™ Vaccine|Drug: Placebo","20",3,"Has Results","Drug",4,0
"159","NCT00622401","Breast","Terminated","Biological: Dendritic Cell/Tumor Fusion Vaccine|Drug: Interleukin-12","15",8,"Has Results","Drug",3,0
"160","NCT00088985","Breast","Terminated","Biological: therapeutic autologous dendritic cells|Biological: trastuzumab|Drug: vinorelbine ditartrate","20",56,"Has Results","Drug",4,0
"161","NCT00028626","Colorectal","Completed","Drug: embolization therapy","20",NA,"No Results Available","Drug",4,1
"162","NCT00126633","Pancreas","Completed","Biological: bevacizumab|Drug: cisplatin|Drug: gemcitabine hydrochloride","20",53,"No Results Available","Drug",4,1
"163","NCT02779855","Breast","Suspended","Biological: Talimogene laherparepvec|Drug: Paclitaxel","15",46,"No Results Available","Drug",3,0
"164","NCT00003103","Lung","Completed","Biological: oblimersen sodium|Drug: docetaxel","15",57,"No Results Available","Drug",3,1
"165","NCT00016367","Lung","Completed","Biological: Trastuzumab|Drug: Cisplatin|Drug: Gemcitabine Hydrochloride","20",22,"No Results Available","Drug",4,1
"166","NCT00016146","Prostate","Completed","Biological: GPI-0100|Biological: MUC-2-Globo H-KLH conjugate vaccine","10",34,"No Results Available","Bio",2,1
"167","NCT00049218","Lung","Completed","Biological: Autologous dendritic cell-adenovirus p53 vaccine|Drug: Carboplatin|Drug: Etoposide","15",56,"No Results Available","Drug",3,1
"168","NCT01258868","Lung","Terminated","Drug: Celebrex|Biological: Tumor cell vaccine","10",44,"No Results Available","Both",2,0
"169","NCT00020787","Esophagus","Completed","Biological: G17DT Immunogen|Drug: cisplatin|Drug: fluorouracil","30",8,"No Results Available","Drug",6,1
"170","NCT01616303","Ovary","Completed","Drug: carboplatin & paclitaxel|Biological: carboplatin & paclitaxel & oregovomab","20",97,"No Results Available","Both",4,1
"171","NCT00399529","Breast","Completed","Biological: Allogeneic GM-CSF-secreting breast cancer vaccine|Drug: Trastuzumab|Drug: Cyclophosphamide","20",22,"No Results Available","Drug",4,1
"172","NCT00309894","Prostate","Completed","Biological: sargramostim|Drug: ketoconazole|Drug: therapeutic hydrocortisone","20",49,"No Results Available","Drug",4,1
"173","NCT00436644","Ovary","Completed","Drug: Lapatinib|Drug: Topotecan","20",18,"Has Results","Drug",4,1
"174","NCT00003065","Cervix","Completed","Biological: filgrastim|Drug: paclitaxel|Drug: topotecan hydrochloride","20",25,"No Results Available","Drug",4,1
"175","NCT00002780","Breast","Unknown status","Biological: aldesleukin|Biological: cytokine therapy|Biological: sargramostim|Drug: carboplatin|Drug: cyclophosphamide|Drug: thiotepa|Procedure: peripheral blood stem cell transplantation","15",60,"No Results Available","Drug",3,0
"176","NCT00100815","Pancreas","Completed","Biological: bevacizumab|Drug: capecitabine|Drug: gemcitabine hydrochloride","20",50,"Has Results","Drug",4,1
"177","NCT00655850","Lung","Completed","Drug: Paclitaxel|Drug: Gemcitabine|Biological: Avastin","20",39,"Has Results","Both",4,1
"178","NCT00004145","Leukemia","Completed","Biological: anti-thymocyte globulin|Drug: cyclophosphamide|Drug: fludarabine phosphate|Procedure: peripheral blood stem cell transplantation","20",16,"No Results Available","Drug",4,1
"179","NCT00622674","Lung","Completed","Biological: cetuximab|Drug: bortezomib","10",37,"No Results Available","Drug",2,1
"180","NCT00017407","Lung","Completed","Biological: ISIS 3521|Drug: carboplatin|Drug: paclitaxel","30",NA,"No Results Available","Drug",6,1
"181","NCT02421575","Prostate","Terminated","Drug: Hydroxychloroquine|Other: Laboratory Biomarker Analysis","05",4,"No Results Available","Drug",1,0
"182","NCT00445523","Kidney","Completed","Biological: TroVax® (Immunological Vaccine Therapy)|Drug: Interferon-alpha","20",28,"No Results Available","Drug",4,1
"183","NCT00005814","Head_Neck","Completed","Biological: cetuximab|Drug: cisplatin|Radiation: radiation therapy","20",NA,"No Results Available","Drug",4,1
"184","NCT00082212","Ovary","Terminated","Biological: Cetuximab","20",25,"No Results Available","Bio",4,0
"185","NCT01861054","Breast","Terminated","Drug: Reparixin","20",20,"No Results Available","Drug",4,0
"186","NCT00397384","Lung","Completed","Drug: cetuximab|Drug: erlotinib hydrochloride|Other: laboratory biomarker analysis","10",43,"No Results Available","Drug",2,1
"187","NCT00008203","Breast","Completed","Biological: aldesleukin|Biological: recombinant interferon gamma|Drug: carboplatin|Drug: cyclophosphamide|Drug: cyclosporine|Drug: thiotepa|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation","30",NA,"No Results Available","Drug",6,1
"188","NCT00305760","Pancreas","Completed","Drug: Cetuximab|Biological: Pancreatic tumor vaccine|Drug: Cyclophosphamide","20",60,"Has Results","Both",4,1
"189","NCT00262951","Pancreas","Terminated","Biological: recombinant interferon alfa|Drug: cisplatin|Drug: fluorouracil|Radiation: radiation therapy|Procedure: Resection of tumor","20",23,"Has Results","Drug",4,0
"190","NCT00909558","Lung","Suspended","Biological: Autologous Natural Killer / Natural Killer T Cell Immunotherapy","10",24,"No Results Available","Bio",2,0
"191","NCT00006384","Kidney","Completed","Biological: recombinant interferon alfa|Drug: semaxanib","20",NA,"No Results Available","Drug",4,1
"192","NCT00438204","Lung","Terminated","Biological: bevacizumab|Drug: gemcitabine hydrochloride|Drug: pemetrexed disodium","20",39,"Has Results","Drug",4,0
"193","NCT01867086","Ovary","Completed","Biological: Vigil™ Vaccine|Drug: Carboplatinum|Drug: Carboplatinum and Taxol","20",1,"Has Results","Drug",4,1
"194","NCT00446836","Prostate","Completed","Drug: Paclitaxel polyglumex (Xyotax)","20",29,"No Results Available","Drug",4,1
"195","NCT02639234","Lung","Withdrawn","Biological: Vigil™|Drug: Nivolumab","20",0,"No Results Available","Drug",4,0
"196","NCT00467077","Kidney","Terminated","Biological: PEG-interferon alfa-2b|Drug: gefitinib","20",21,"Has Results","Drug",4,0
"197","NCT00022230","Breast","Withdrawn","Biological: aldesleukin|Biological: filgrastim|Biological: sargramostim|Biological: therapeutic autologous lymphocytes|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: paclitaxel","15",0,"No Results Available","Drug",3,0
"198","NCT00003296","Stomach","Unknown status","Biological: filgrastim|Drug: pegylated liposomal doxorubicin hydrochloride","20",26,"No Results Available","Drug",4,0
"199","NCT00063401","Ovary","Completed","Biological: Cetuximab:|Drug: Paclitaxel|Drug: Carboplatin","20",39,"No Results Available","Drug",4,1
"200","NCT00301964","Uterus","Completed","Biological: bevacizumab|Other: laboratory biomarker analysis","20",56,"Has Results","Bio",4,1
"201","NCT00948480","Melanoma","Completed","Biological: Autologous tumor cells plus dendritic cells|Drug: GM-CSF","20",56,"No Results Available","Drug",4,1
