"","Site","NCTNum","Status","Drug_Bio","Phases","Enrollment","Results","DrugBio","PH","Success","totalcost","EstNewCases","EstDeaths","Survival_5yr"
"11","Bladder","NCT01094496","Terminated","Biological: CDX-1307 Vaccine Regimen|Drug: Chemotherapy","20",30,"No Results Available","Drug",4,0,5711,81190,17240,74.8
"12","Bladder","NCT01200992","Terminated","Biological: EN3348|Biological: Mitomycin C","30",84,"Has Results","Bio",6,0,5711,81190,17240,74.8
"13","Bladder","NCT01625260","Unknown status","Biological: ALT-801|Drug: Gemcitabine","15",52,"No Results Available","Drug",3,0,5711,81190,17240,74.8
"14","Bladder","NCT00003342","Completed","Biological: filgrastim|Drug: carboplatin|Drug: doxorubicin hydrochloride|Drug: gemcitabine hydrochloride|Drug: paclitaxel","10",30,"No Results Available","Drug",2,1,5711,81190,17240,74.8
"15","Bladder","NCT01438112","Terminated","Biological: CG0070 adenovirus vector|Other: Control Arm: Quadruple Choice","25",22,"No Results Available","Bio",5,0,5711,81190,17240,74.8
"16","Bladder","NCT01284205","Withdrawn","Biological: Mycobacterial Cell-Wall DNA Complex|Biological: Bacillus Calmette-Guerin","30",0,"No Results Available","Bio",6,0,5711,81190,17240,74.8
"17","Bladder","NCT01437488","Completed","Drug: Cabazitaxel|Drug: Neulasta|Procedure: CT Scan|Biological: Blood Draw","20",14,"Has Results","Both",4,1,5711,81190,17240,74.8
"18","Bladder","NCT00080795","Completed","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: gemcitabine hydrochloride|Drug: ifosfamide|Procedure: conventional surgery|Procedure: neoadjuvant therapy","20",65,"No Results Available","Drug",4,1,5711,81190,17240,74.8
"19","Bladder","NCT00109655","Unknown status","Biological: Oncolytic adenovirus (serotype 5) - CG0070","10",75,"No Results Available","Bio",2,0,5711,81190,17240,74.8
"20","Bladder","NCT00014534","Completed","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: gemcitabine hydrochloride","30",42,"No Results Available","Drug",6,1,5711,81190,17240,74.8
"21","Brain","NCT00101309","Unknown status","Biological: aldesleukin|Biological: autologous EBV-transformed B lymphoblastoid-tumor fusion cell vaccine|Biological: therapeutic autologous lymphocytes","10",10,"No Results Available","Bio",2,0,8178.3,23880,16830,32.7
"22","Brain","NCT00053950","Terminated","Drug: pyrazoloacridine|Biological: filgrastim|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Other: laboratory biomarker analysis|Other: pharmacological study","10",42,"No Results Available","Both",2,0,8178.3,23880,16830,32.7
"23","Brain","NCT00002748","Completed","Biological: gene-modified tumor cell vaccine therapy|Biological: interleukin-2 gene","10",38,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"24","Brain","NCT00003842","Unknown status","Biological: interleukin-4 PE38KDEL cytotoxin|Drug: isolated perfusion|Procedure: surgical procedure","10",30,"No Results Available","Drug",2,0,8178.3,23880,16830,32.7
"25","Brain","NCT00048386","Completed","Biological: autologous neuroblastoma vaccine","10",13,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"26","Brain","NCT01767194","Completed","Biological: Dinutuximab|Drug: Irinotecan Hydrochloride|Other: Laboratory Biomarker Analysis|Biological: Sargramostim|Drug: Temozolomide|Drug: Temsirolimus","20",73,"No Results Available","Both",4,1,8178.3,23880,16830,32.7
"27","Brain","NCT01009866","Terminated","Biological: MR1-1","10",9,"No Results Available","Bio",2,0,8178.3,23880,16830,32.7
"28","Brain","NCT02207010","Unknown status","Biological: AZD1775","05",20,"No Results Available","Bio",1,0,8178.3,23880,16830,32.7
"29","Brain","NCT01836549","Terminated","Drug: imetelstat sodium","20",43,"Has Results","Drug",4,0,8178.3,23880,16830,32.7
"30","Brain","NCT00393094","Terminated","Biological: Bevacizumab|Drug: Irinotecan hydrochloride","20",31,"Has Results","Drug",4,0,8178.3,23880,16830,32.7
"31","Brain","NCT01189240","Terminated","Drug: gamma-secretase/Notch signalling pathway inhibitor RO4929097|Biological: bevacizumab|Other: laboratory biomarker analysis|Other: pharmacological study","15",13,"Has Results","Both",3,0,8178.3,23880,16830,32.7
"32","Brain","NCT00052780","Completed","Drug: O6-benzylguanine|Drug: temozolomide|Biological: filgrastim|Other: pharmacological study|Other: laboratory biomarker analysis","10",72,"No Results Available","Both",2,1,8178.3,23880,16830,32.7
"33","Brain","NCT00626015","Completed","Biological: PEP-3-KLH conjugate vaccine|Biological: daclizumab|Drug: temozolomide|Other: placebo|Biological: PEP-3-KLH","10",16,"No Results Available","Both",2,1,8178.3,23880,16830,32.7
"34","Brain","NCT01156584","Completed","Biological: Toca 511 vector|Drug: Toca FC","10",54,"No Results Available","Drug",2,1,8178.3,23880,16830,32.7
"35","Brain","NCT00075634","Completed","Drug: decitabine|Drug: doxorubicin hydrochloride|Drug: cyclophosphamide|Biological: filgrastim|Biological: pegfilgrastim|Other: laboratory biomarker analysis|Other: pharmacological study","10",21,"No Results Available","Both",2,1,8178.3,23880,16830,32.7
"36","Brain","NCT00293423","Completed","Biological: HSPPC-96|Procedure: conventional surgery","15",41,"No Results Available","Bio",3,1,8178.3,23880,16830,32.7
"37","Brain","NCT00905060","Completed","Biological: HSPPC-96","20",70,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"38","Brain","NCT01967758","Completed","Biological: Cohort 1|Biological: Cohort 2|Biological: Cohort 3|Drug: Antibiotics","10",11,"No Results Available","Drug",2,1,8178.3,23880,16830,32.7
"39","Brain","NCT01985256","Completed","Biological: Toca 511|Drug: Toca FC","10",17,"No Results Available","Drug",2,1,8178.3,23880,16830,32.7
"40","Brain","NCT00003023","Completed","Biological: BCG vaccine|Biological: monoclonal antibody A1G4 anti-idiotype vaccine","10",24,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"41","Brain","NCT02348255","Withdrawn","Procedure: Electric Field Therapy|Biological: Bevacizumab|Drug: Carmustine|Other: Quality-of-Life Assessment","20",0,"No Results Available","Drug",4,0,8178.3,23880,16830,32.7
"42","Brain","NCT00621686","Completed","Biological: bevacizumab|Drug: sorafenib tosylate","20",54,"Has Results","Drug",4,1,8178.3,23880,16830,32.7
"43","Brain","NCT00005796","Completed","Procedure: filgrastim|Biological: gene therapy|Drug: lomustine|Drug: procarbazine hydrochloride|Drug: vincristine sulfate|Procedure: in vitro-treated peripheral blood stem cell transplantation","10",10,"No Results Available","Drug",2,1,8178.3,23880,16830,32.7
"44","Brain","NCT00047879","Completed","Biological: PEG-interferon alfa-2b|Drug: Thalidomide","20",7,"Has Results","Drug",4,1,8178.3,23880,16830,32.7
"45","Brain","NCT00085098","Completed","Biological: filgrastim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Radiation: radiation therapy","30",24,"Has Results","Drug",6,1,8178.3,23880,16830,32.7
"46","Brain","NCT00293319","Completed","Biological: filgrastim|Radiation: iobenguane I 131","20",164,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"47","Brain","NCT00003020","Completed","Biological: LMB-7 immunotoxin","10",24,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"48","Brain","NCT00895180","Completed","Biological: olaratumab|Biological: ramucirumab","20",80,"Has Results","Bio",4,1,8178.3,23880,16830,32.7
"49","Brain","NCT01236560","Completed","Biological: Bevacizumab|Drug: Temozolomide|Drug: Vorinostat","25",101,"No Results Available","Drug",5,1,8178.3,23880,16830,32.7
"50","Brain","NCT01713439","Completed","Biological: Injection of allogeneic neuroblastoma cells","10",32,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"51","Brain","NCT00589875","Completed","Biological: AdV-tk|Drug: Valacyclovir","20",52,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"52","Brain","NCT00002619","Completed","Biological: filgrastim|Drug: carboplatin|Drug: thiotepa|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation","20",60,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"53","Brain","NCT00693095","Completed","Biological: CMV-ALT + CMV-DCs|Biological: CMV-ALT + Saline","10",23,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"54","Brain","NCT01403285","Terminated","Drug: Cyclophosphamide|Biological: IMA950 plus GM-CSF|Biological: IMA950|Drug: Imiquimod","10",6,"No Results Available","Both",2,0,8178.3,23880,16830,32.7
"55","Brain","NCT02078648","Completed","Biological: SL-701; poly-ICLC (polyinosinic-polycytidylic acid stabilized with polylysine and carboxymethyl cellulose)|Drug: Bevacizumab","15",74,"No Results Available","Drug",3,1,8178.3,23880,16830,32.7
"56","Brain","NCT02510950","Terminated","Biological: Personalized peptide vaccine|Drug: Poly-ICLC|Drug: Temozolomide","10",1,"No Results Available","Drug",2,0,8178.3,23880,16830,32.7
"57","Brain","NCT01470794","Completed","Biological: Toca 511 vector|Drug: Toca FC","10",58,"No Results Available","Drug",2,1,8178.3,23880,16830,32.7
"58","Brain","NCT00082758","Completed","Biological: hu14.18-Interleukin-2 fusion protein","20",39,"Has Results","Bio",4,1,8178.3,23880,16830,32.7
"59","Brain","NCT01041638","Completed","Biological: Aldesleukin|Other: Diagnostic Laboratory Biomarker Analysis|Biological: Dinutuximab|Drug: Isotretinoin|Biological: Sargramostim","30",105,"Has Results","Both",6,1,8178.3,23880,16830,32.7
"60","Brain","NCT00002594","Completed","Biological: Sargramostim|Drug: cyclophosphamide|Drug: melphalan|Procedure: autologous bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation","20",31,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"61","Brain","NCT02805179","Suspended","Radiation: High Dose Radiation|Drug: Temozolomide","20",40,"No Results Available","Drug",4,0,8178.3,23880,16830,32.7
"62","Brain","NCT01241162","Completed","Biological: Autologous dendritic cell vaccine with adjuvant","10",19,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"63","Brain","NCT00667394","Completed","Biological: Bevacizumab|Drug: MLN-518 (Tandutinib)|Procedure: Quality-of-life assessment","20",42,"Has Results","Drug",4,1,8178.3,23880,16830,32.7
"64","Brain","NCT01576692","Completed","Biological: Humanized anti-GD2 antibody|Drug: Chemotherapy|Other: Cytokines|Biological: Natural killer cells|Device: CliniMACS","10",34,"No Results Available","Both",2,1,8178.3,23880,16830,32.7
"65","Brain","NCT00323115","Completed","Biological: Autologous Dendritic Cell|Drug: Temozolomide|Procedure: Radiotherapy|Biological: Dendritic Cell Vaccine","20",11,"Has Results","Both",4,1,8178.3,23880,16830,32.7
"66","Brain","NCT00433381","Completed","Biological: Bevacizumab|Drug: Irinotecan Hydrochloride|Drug: Temozolomide","20",123,"Has Results","Drug",4,1,8178.3,23880,16830,32.7
"67","Brain","NCT00612001","Completed","Biological: glioma-associated antigen peptide-pulsed autologous dendritic cell vaccine","10",8,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"68","Brain","NCT00268359","Completed","Biological: bevacizumab|Drug: irinotecan hydrochloride","20",68,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"69","Brain","NCT00002814","Completed","Biological: filgrastim|Drug: paclitaxel|Drug: topotecan hydrochloride","20",20,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"70","Brain","NCT00002634","Completed","Biological: filgrastim|Biological: monoclonal antibody 3F8|Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: mesna|Drug: perfosfamide|Drug: vincristine sulfate|Procedure: autologous bone marrow transplantation|Procedure: in vitro-treated bone marrow transplantation|Radiation: low-LET cobalt-60 gamma ray therapy|Radiation: low-LET photon therapy|Radiation: radioisotope therapy","20",45,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"71","Brain","NCT00003573","Completed","Biological: filgrastim|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Drug: vincristine sulfate|Radiation: radiation therapy","20",53,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"72","Brain","NCT00107471","Terminated","Biological: filgrastim|Drug: topotecan hydrochloride|Radiation: radiation therapy","15",7,"No Results Available","Drug",3,0,8178.3,23880,16830,32.7
"73","Brain","NCT00698009","Terminated","Drug: Fludarabine|Drug: Cyclophosphamide|Biological: Natural Killer Cell Infusion|Drug: Mesna|Drug: Interleukin-2","20",1,"Has Results","Both",4,0,8178.3,23880,16830,32.7
"74","Brain","NCT00006263","Withdrawn","Biological: filgrastim|Drug: carboplatin|Drug: temozolomide","20",0,"No Results Available","Drug",4,0,8178.3,23880,16830,32.7
"75","Brain","NCT02049489","Completed","Biological: ICT-121 DC vaccine","10",20,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"76","Brain","NCT00003185","Completed","Biological: autologous tumor cell vaccine|Biological: sargramostim|Biological: tumor-draining lymph node lymphocyte therapy|Drug: cyclophosphamide|Procedure: conventional surgery","20",40,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"77","Brain","NCT02332889","Terminated","Biological: Vaccine (autologous dendritic cells)|Drug: Decitabine and Hiltonol","15",1,"Has Results","Drug",3,0,8178.3,23880,16830,32.7
"78","Brain","NCT02855086","Terminated","Biological: Cetuximab|Drug: Cetuximab-IRDye 800CW|Procedure: Tumor resection","15",3,"Has Results","Drug",3,0,8178.3,23880,16830,32.7
"79","Brain","NCT00694330","Completed","Biological: GM-K562 Vaccination","10",11,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"80","Brain","NCT00392327","Suspended","Drug: Carboplatin|Drug: Cisplatin|Drug: Cyclophosphamide|Biological: Filgrastim|Drug: Isotretinoin|Other: Laboratory Biomarker Analysis|Other: Quality-of-Life Assessment|Radiation: Radiation Therapy|Drug: Vincristine Sulfate","30",400,"No Results Available","Both",6,0,8178.3,23880,16830,32.7
"81","Brain","NCT02055196","Withdrawn","Biological: carboxylesterase-expressing allogeneic neural stem cells|Drug: irinotecan hydrochloride|Other: laboratory biomarker analysis","10",0,"No Results Available","Drug",2,0,8178.3,23880,16830,32.7
"82","Brain","NCT01792505","Completed","Biological: Dendritic Cell Vaccine in combination with Imiquimod cream","10",71,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"83","Brain","NCT00036569","Completed","Procedure: adjuvant therapy|Biological: pegylated interferon alfa","20",32,"Has Results","Bio",4,1,8178.3,23880,16830,32.7
"84","Brain","NCT00238173","Terminated","Biological: filgrastim|Drug: acetylcysteine|Drug: carboplatin|Drug: cyclophosphamide|Drug: etoposide phosphate|Drug: mannitol|Drug: sodium thiosulfate","10",2,"No Results Available","Drug",2,0,8178.3,23880,16830,32.7
"85","Brain","NCT01290692","Completed","Biological: TVI-Brain-1","20",86,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"86","Brain","NCT00002965","Completed","Biological: Recombinant Interferon Alfa (INF alpha)","20",16,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"87","Brain","NCT00089258","Completed","Biological: beta-glucan|Biological: monoclonal antibody 3F8|Biological: sargramostim|Drug: isotretinoin","20",74,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"88","Brain","NCT00381797","Completed","Biological: Bevacizumab|Radiation: Fludeoxyglucose F-18|Drug: Irinotecan Hydrochloride","20",97,"Has Results","Drug",4,1,8178.3,23880,16830,32.7
"89","Brain","NCT01454596","Completed","Biological: Anti-EGFRvIII CAR transduced PBL|Drug: Aldesleukin|Drug: Fludarabine|Drug: Cyclophosphamide","15",18,"No Results Available","Drug",3,1,8178.3,23880,16830,32.7
"90","Brain","NCT01081223","Completed","Biological: Cancer vaccine plus immune adjuvant, plus activated white blood cells","15",14,"No Results Available","Bio",3,1,8178.3,23880,16830,32.7
"91","Brain","NCT01614795","Completed","Biological: Cixutumumab|Other: Laboratory Biomarker Analysis|Drug: Temsirolimus","20",46,"Has Results","Drug",4,1,8178.3,23880,16830,32.7
"92","Brain","NCT00003119","Completed","Biological: filgrastim|Biological: sargramostim|Drug: carboplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Procedure: adjuvant therapy|Procedure: conventional surgery|Radiation: radiation therapy","30",968,"No Results Available","Drug",6,1,8178.3,23880,16830,32.7
"93","Brain","NCT00002560","Completed","Biological: monoclonal antibody 3F8|Biological: sargramostim","20",40,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"94","Brain","NCT03197506","Suspended","Radiation: External Beam Radiation Therapy|Other: Laboratory Biomarker Analysis|Biological: Pembrolizumab|Radiation: Radiation Therapy|Drug: Temozolomide|Procedure: Therapeutic Conventional Surgery","20",90,"No Results Available","Drug",4,0,8178.3,23880,16830,32.7
"95","Brain","NCT00005576","Completed","Biological: monoclonal antibody Ch14.18|Drug: isotretinoin|Biological: aldesleukin|Biological: sargramostim","10",6,"No Results Available","Both",2,1,8178.3,23880,16830,32.7
"96","Brain","NCT01334515","Completed","Biological: hu14.18-IL2 fusion protein|Drug: isotretinoin|Biological: sargramostim|Other: laboratory biomarker analysis","20",52,"Has Results","Both",4,1,8178.3,23880,16830,32.7
"97","Brain","NCT00499616","Completed","Drug: carboplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: topotecan hydrochloride|Drug: Isotretinoin|Procedure: Surgery|Drug: Filgrastim","30",464,"Has Results","Drug",6,1,8178.3,23880,16830,32.7
"98","Brain","NCT00814593","Terminated","Biological: lymphokine-activated killer cells|Drug: polifeprosan 20 with carmustine implant","20",80,"No Results Available","Drug",4,0,8178.3,23880,16830,32.7
"99","Brain","NCT01171469","Completed","Biological: Dendritic Cells|Drug: Imiquimod","10",8,"No Results Available","Drug",2,1,8178.3,23880,16830,32.7
"100","Brain","NCT01183884","Completed","Biological: 3F8/GM-CSF Immunotherapy Plus 13-Cis-Retinoic Acid","20",63,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"101","Brain","NCT00004024","Completed","Biological: aldesleukin|Biological: autologous tumor cell vaccine|Biological: muromonab-CD3|Biological: sargramostim|Biological: therapeutic autologous lymphocytes|Procedure: surgical procedure|Radiation: radiation therapy","20",60,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"102","Brain","NCT00450307","Completed","Biological: monoclonal antibody 3F8|Biological: sargramostim","10",32,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"103","Brain","NCT00003093","Completed","Biological: filgrastim|Biological: sargramostim|Drug: carboplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Procedure: conventional surgery|Procedure: neoadjuvant therapy","30",573,"No Results Available","Drug",6,1,8178.3,23880,16830,32.7
"104","Brain","NCT00969722","Terminated","Biological: MAb-3F8|Biological: Subcutaneous Granulocyte Macrophage Colony Stimulating Factor (GM-CSF)|Biological: 13-cis-Retinoic Acid","20",1,"No Results Available","Bio",4,0,8178.3,23880,16830,32.7
"105","Brain","NCT01711554","Suspended","Biological: Dinutuximab|Drug: Isotretinoin|Other: Laboratory Biomarker Analysis|Drug: Lenalidomide|Other: Pharmacological Study","10",62,"No Results Available","Drug",2,0,8178.3,23880,16830,32.7
"106","Brain","NCT00576537","Completed","Biological: Dendritic Cell Immunotherapy|Biological: Dendritic Cell Vaccine","20",50,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"107","Brain","NCT00766753","Completed","Biological: Dendritic vaccine pulsed with multiple peptides|Biological: The first booster vaccine phase:|Biological: The second booster vaccine phase:","15",22,"Has Results","Bio",3,1,8178.3,23880,16830,32.7
"108","Brain","NCT00006916","Terminated","Biological: bleomycin|Device: Ommaya reservoir|Radiation: radiation therapy","20",19,"Has Results","Bio",4,0,8178.3,23880,16830,32.7
"109","Brain","NCT00052715","Terminated","Drug: poly ICLC","20",31,"Has Results","Drug",4,0,8178.3,23880,16830,32.7
"110","Brain","NCT01250470","Completed","Other: Laboratory Biomarker Analysis|Drug: Montanide ISA-51/Survivin Peptide Vaccine|Biological: Sargramostim","10",9,"No Results Available","Both",2,1,8178.3,23880,16830,32.7
"111","Brain","NCT00074334","Terminated","Biological: TGFa-PE38 immunotoxin|Procedure: conventional surgery","15",3,"No Results Available","Bio",3,0,8178.3,23880,16830,32.7
"112","Brain","NCT01086345","Terminated","Radiation: radiosurgery|Biological: bevacizumab|Drug: irinotecan hydrochloride","05",9,"No Results Available","Drug",1,0,8178.3,23880,16830,32.7
"113","Brain","NCT00874861","Completed","Biological: Peptide vaccine + Poly-ICLC","05",10,"No Results Available","Bio",1,1,8178.3,23880,16830,32.7
"114","Brain","NCT00054405","Terminated","Biological: recombinant interleukin-12|Biological: aldesleukin","10",40,"No Results Available","Bio",2,0,8178.3,23880,16830,32.7
"115","Brain","NCT01172964","Completed","Drug: flucytosine|Other: polymerase chain reaction|Other: immunohistochemistry staining method|Biological: gene therapy|Other: pharmacological study|Other: 3-Tesla magnetic resonance imaging|Other: laboratory biomarker analysis|Procedure: therapeutic conventional surgery|Biological: E. coli CD-expressing genetically modified neural stem cells","10",15,"No Results Available","Both",2,1,8178.3,23880,16830,32.7
"116","Brain","NCT02546102","Suspended","Biological: ICT-107|Biological: Placebo","30",414,"No Results Available","Bio",6,0,8178.3,23880,16830,32.7
"117","Brain","NCT01592045","Completed","Biological: ch14.18 -NCI|Biological: ch14.18-UTC|Biological: Granulocyte-Macrophage Colony-Stimulating Factor (GM-CSF)|Biological: Aldesleukin (IL-2)|Drug: Isotretinoin","15",28,"Has Results","Drug",3,1,8178.3,23880,16830,32.7
"118","Brain","NCT00002825","Completed","Biological: filgrastim|Drug: docetaxel","20",20,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"119","Brain","NCT00017368","Completed","Biological: filgrastim|Biological: sargramostim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: etoposide phosphate|Drug: ifosfamide|Drug: isotretinoin|Drug: melphalan|Drug: thiotepa|Drug: vincristine sulfate|Procedure: conventional surgery|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","20",42,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"120","Brain","NCT00008008","Completed","Biological: filgrastim|Biological: sargramostim|Drug: cyclophosphamide|Drug: thiotepa|Procedure: autologous bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation","20",40,"No Results Available","Drug",4,1,8178.3,23880,16830,32.7
"121","Brain","NCT00405327","Completed","Biological: Tumor lysate-pulsed dendritic cell (DC) vaccine|Other: Hematopoietic stem cell transplantation (HSCT)","20",16,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"122","Brain","NCT01058850","Terminated","Biological: Rindopepimut","10",3,"No Results Available","Bio",2,0,8178.3,23880,16830,32.7
"123","Brain","NCT02974621","Suspended","Biological: Bevacizumab|Drug: Cediranib Maleate|Other: Laboratory Biomarker Analysis|Drug: Olaparib","20",70,"No Results Available","Drug",4,0,8178.3,23880,16830,32.7
"124","Brain","NCT02430363","Unknown status","Drug: MK - 3475|Biological: Suppressor of the PI3K/Akt pathways","15",58,"No Results Available","Both",3,0,8178.3,23880,16830,32.7
"125","Brain","NCT00095940","Completed","Drug: lapatinib ditosylate|Procedure: therapeutic conventional surgery|Other: laboratory biomarker analysis|Other: pharmacological study|Procedure: positron emission tomography|Procedure: magnetic resonance imaging","15",52,"Has Results","Drug",3,1,8178.3,23880,16830,32.7
"126","Brain","NCT00600054","Completed","Biological: nimotuzumab (anti EGFR humanized monoclonal antibody)","20",44,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"127","Brain","NCT02031965","Terminated","Biological: oncolytic HSV-1716|Drug: dexamethasone|Procedure: therapeutic conventional surgery|Other: laboratory biomarker analysis","10",2,"No Results Available","Drug",2,0,8178.3,23880,16830,32.7
"128","Brain","NCT00576446","Completed","Biological: Dendritic cell Vaccine","10",35,"No Results Available","Bio",2,1,8178.3,23880,16830,32.7
"129","Brain","NCT00751270","Completed","Biological: AdV-tk|Drug: Valacyclovir","10",15,"No Results Available","Drug",2,1,8178.3,23880,16830,32.7
"130","Brain","NCT00591058","Unknown status","Drug: TM-601","10",36,"No Results Available","Drug",2,0,8178.3,23880,16830,32.7
"131","Brain","NCT01404702","Terminated","Drug: Zoledronic Acid|Biological: Aldesleukin","10",4,"No Results Available","Both",2,0,8178.3,23880,16830,32.7
"132","Brain","NCT00643097","Completed","Biological: PEP-3 vaccine|Biological: sargramostim|Drug: Temozolomide","20",40,"Has Results","Drug",4,1,8178.3,23880,16830,32.7
"133","Brain","NCT01013285","Unknown status","Biological: bevacizumab|Drug: temozolomide|Radiation: external beam radiation therapy","20",70,"No Results Available","Drug",4,0,8178.3,23880,16830,32.7
"134","Brain","NCT01684761","Completed","Biological: Tcelna|Biological: Placebo","20",183,"No Results Available","Bio",4,1,8178.3,23880,16830,32.7
"135","Brain","NCT01400672","Completed","Biological: Tumor Lysate Vaccine|Drug: Imiquimod|Radiation: Radiation therapy","10",8,"No Results Available","Drug",2,1,8178.3,23880,16830,32.7
"136","Brain","NCT00923351","Completed","Drug: Tumor Purged/CD25 Depleted Lymphocytes|Biological: Tumor Purged/CD25 Depleted Lymphocytes with Tumor Lysate/KLH Pulsed Dendritic Cell Vaccine|Drug: rhIL-7|Biological: Tumor Lysate/KLH Pulsed Dendritic Cell Vaccine","15",44,"Has Results","Both",3,1,8178.3,23880,16830,32.7
"137","Brain","NCT00795457","Completed","Biological: GAA/TT-peptide vaccine and poly-ICLC","05",13,"No Results Available","Bio",1,1,8178.3,23880,16830,32.7
