"","Site","Year","Sex","Age","Trends","Incr","totalcost","fst.yr","ongoing.yr","last.yr"
"30","Cervix","2010","Females","All ages","Incidence, Survival follow recent trends","5%",1394.4,386,355.7,652.6
"31","Colorectal","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",14140.5,5928.9,3904.6,4307
"32","Colorectal","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",13304,5284.2,3845.7,4174.1
"33","Colorectal","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",14186.2,5928.9,3924.6,4332.8
"34","Colorectal","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",13346.2,5284.2,3864.1,4197.9
"35","Colorectal","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",13346.2,5284.2,3864.1,4197.9
"36","Colorectal","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",13346.2,5284.2,3864.1,4197.9
"37","Esophagus","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",1333.3,577.8,146.5,609
"38","Esophagus","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",1318.9,568,145.9,605
"39","Esophagus","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",1370.7,577.8,154.1,638.8
"40","Esophagus","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",1356,568,153.4,634.6
"41","Esophagus","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",1356,568,153.4,634.6
"42","Esophagus","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",1356,568,153.4,634.6
"43","Head_Neck","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",3635.7,1080.6,1007.7,1547.4
"44","Head_Neck","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",3517.5,996.8,999,1521.7
"45","Head_Neck","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",3640.6,1080.6,1009.5,1550.5
"46","Head_Neck","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",3522.2,996.8,1000.7,1524.7
"47","Head_Neck","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",3522.2,996.8,1000.7,1524.7
"48","Head_Neck","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",3522.2,996.8,1000.7,1524.7
"49","Kidney","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",3798.3,1126.3,1586.5,1085.5
"50","Kidney","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",3976.2,1260.2,1605.4,1110.7
"51","Kidney","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",3816.2,1126.3,1597,1092.9
"52","Kidney","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",3995.5,1260.2,1616.7,1118.7
"53","Kidney","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",3995.5,1260.2,1616.7,1118.7
"54","Kidney","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",3995.5,1260.2,1616.7,1118.7
"55","Leukemia","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",5438.1,798.2,2097.6,2542.3
"56","Leukemia","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",5309.2,762.4,2060.5,2486.3
"57","Leukemia","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",5470,798.2,2111.1,2560.7
"58","Leukemia","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",5339.8,762.4,2073.4,2504
"59","Leukemia","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",5339.8,762.4,2073.4,2504
"60","Leukemia","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",5339.8,762.4,2073.4,2504
"61","Lung","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",12120.7,5240.7,1850,5030
"62","Lung","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",11349.5,4738.5,1817.4,4793.7
"63","Lung","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",12196,5240.7,1870.8,5084.6
"64","Lung","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",11418.4,4738.5,1836.4,4843.5
"65","Lung","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",11418.4,4738.5,1836.4,4843.5
"66","Lung","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",11418.4,4738.5,1836.4,4843.5
"67","Lymphoma","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",12142.5,3162.8,4890,4089.7
"68","Lymphoma","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",12086.3,3119.6,4884.9,4081.7
"69","Lymphoma","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",12186.1,3162.8,4913,4110.3
"70","Lymphoma","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",12129.4,3119.6,4907.7,4102.1
"71","Lymphoma","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",12129.4,3119.6,4907.7,4102.1
"72","Lymphoma","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",12129.4,3119.6,4907.7,4102.1
"73","Melanoma","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",2363.2,490.2,1542.4,330.6
"74","Melanoma","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2460.3,562.9,1555.2,342.2
"75","Melanoma","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2364.9,490.2,1543.7,331
"76","Melanoma","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2462.2,562.9,1556.6,342.7
"77","Melanoma","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2462.2,562.9,1556.6,342.7
"78","Melanoma","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2462.2,562.9,1556.6,342.7
"79","Ovary","2010","Females","All ages","Incidence, Survival at constant rate","0%",5116.1,1391.2,1654.8,2070.1
"80","Ovary","2010","Females","All ages","Incidence follows recent trend, Survival constant","0%",4702.6,1077.6,1630.2,1994.7
"81","Ovary","2010","Females","All ages","Survival follows recent trend, Incidence constant","0%",5140.8,1391.2,1664,2085.6
"82","Ovary","2010","Females","All ages","Incidence, Survival follow recent trends","0%",4723.6,1077.6,1638.1,2007.9
"83","Ovary","2010","Females","All ages","Incidence, Survival follow recent trends","2%",4723.6,1077.6,1638.1,2007.9
"84","Ovary","2010","Females","All ages","Incidence, Survival follow recent trends","5%",4723.6,1077.6,1638.1,2007.9
"85","Pancreas","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",2266,1439,99.1,727.9
"86","Pancreas","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2251,1428.3,98.9,723.8
"87","Pancreas","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2317.6,1439,109.8,768.8
"88","Pancreas","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2302.3,1428.3,109.5,764.5
"89","Pancreas","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2302.3,1428.3,109.5,764.5
"90","Pancreas","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2302.3,1428.3,109.5,764.5
"91","Prostate","2010","Males","All ages","Incidence, Survival at constant rate","0%",11848.1,4547.3,6187.8,1113
"92","Prostate","2010","Males","All ages","Incidence follows recent trend, Survival constant","0%",11667,4393.4,6164.4,1109.2
"93","Prostate","2010","Males","All ages","Survival follows recent trend, Incidence constant","0%",11854.1,4547.3,6193,1113.7
"94","Prostate","2010","Males","All ages","Incidence, Survival follow recent trends","0%",11672.9,4393.4,6169.5,1109.9
"95","Prostate","2010","Males","All ages","Incidence, Survival follow recent trends","2%",11672.9,4393.4,6169.5,1109.9
"96","Prostate","2010","Males","All ages","Incidence, Survival follow recent trends","5%",11672.9,4393.4,6169.5,1109.9
"97","Stomach","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",1820.1,832.8,230.1,757.3
"98","Stomach","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",1697,746.5,226.2,724.3
"99","Stomach","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",1839.8,832.8,234.1,773
"100","Stomach","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",1715.3,746.5,229.9,738.9
"101","Stomach","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",1715.3,746.5,229.9,738.9
"102","Stomach","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",1715.3,746.5,229.9,738.9
"103","Uterus","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",2622.6,1060.3,791.5,770.7
"104","Uterus","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2544.5,1000.8,783.4,760.2
"105","Uterus","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2622.2,1060.3,791.2,770.7
"106","Uterus","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2544.2,1000.8,783.1,760.2
"107","Uterus","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2544.2,1000.8,783.1,760.2
"108","Uterus","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2544.2,1000.8,783.1,760.2
"109","Other","2010","Both sexes","All ages","Incidence, Survival at constant rate","0%",19424.8,4016.4,10584.7,4823.7
"110","Other","2010","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",20599,4430.3,10925.6,5243.1
"111","Other","2010","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",19844.7,4016.4,10931.3,4897
"112","Other","2010","Both sexes","All ages","Incidence, Survival follow recent trends","0%",21019.6,4430.3,11268.3,5321
"113","Other","2010","Both sexes","All ages","Incidence, Survival follow recent trends","2%",21019.6,4430.3,11268.3,5321
"114","Other","2010","Both sexes","All ages","Incidence, Survival follow recent trends","5%",21019.6,4430.3,11268.3,5321
"115","AllSites","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",127758.4,41204.7,48073.5,38480.2
"116","AllSites","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",125033.9,38926.8,47986.1,38121
"117","AllSites","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",128953.1,41204.7,48788,38960.3
"118","AllSites","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",126201.7,38926.8,48684.3,38590.6
"119","AllSites","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",127631.8,39705.4,48684.3,39242.1
"120","AllSites","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",129776.9,40873.2,48684.3,40219.4
"121","Bladder","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",4049.4,996.9,1928.2,1124.3
"122","Bladder","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",3931.3,931.5,1896.9,1102.9
"123","Bladder","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4059.7,996.9,1934.7,1128.1
"124","Bladder","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",3941.2,931.5,1903.2,1106.5
"125","Bladder","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",3976.4,950.2,1903.2,1123.1
"126","Bladder","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4029.2,978.1,1903.2,1147.9
"127","Brain","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",4576.8,1280.8,1092.7,2203.3
"128","Brain","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4535.1,1251.8,1090.6,2192.7
"129","Brain","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4621.9,1280.8,1103.6,2237.6
"130","Brain","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4579.6,1251.8,1101.3,2226.5
"131","Brain","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4647.3,1276.8,1101.3,2269.1
"132","Brain","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4748.8,1314.4,1101.3,2333.1
"133","Breast","2011","Females","All ages","Incidence, Survival at constant rate","0%",16909.4,6127,6959.1,3823.3
"134","Breast","2011","Females","All ages","Incidence follows recent trend, Survival constant","0%",16247.3,5684.6,6828.5,3734.2
"135","Breast","2011","Females","All ages","Survival follows recent trend, Incidence constant","0%",16929.1,6127,6971.5,3830.6
"136","Breast","2011","Females","All ages","Incidence, Survival follow recent trends","0%",16266,5684.6,6840.3,3741.1
"137","Breast","2011","Females","All ages","Incidence, Survival follow recent trends","2%",16452.6,5798.3,6840.3,3814
"138","Breast","2011","Females","All ages","Incidence, Survival follow recent trends","5%",16732.5,5968.9,6840.3,3923.4
"139","Cervix","2011","Females","All ages","Incidence, Survival at constant rate","0%",1546.2,493.4,367.1,685.7
"140","Cervix","2011","Females","All ages","Incidence follows recent trend, Survival constant","0%",1377.3,375.7,352.9,648.7
"141","Cervix","2011","Females","All ages","Survival follows recent trend, Incidence constant","0%",1546.8,493.4,367.2,686.1
"142","Cervix","2011","Females","All ages","Incidence, Survival follow recent trends","0%",1377.7,375.7,353,649
"143","Cervix","2011","Females","All ages","Incidence, Survival follow recent trends","2%",1397.1,383.2,353,660.9
"144","Cervix","2011","Females","All ages","Incidence, Survival follow recent trends","5%",1426.2,394.5,353,678.7
"145","Colorectal","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",14414.5,6038.9,3984.4,4391.2
"146","Colorectal","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",13401.6,5295,3892.2,4214.4
"147","Colorectal","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",14480.8,6038.9,4014,4427.9
"148","Colorectal","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",13462.2,5295,3919.2,4247.9
"149","Colorectal","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",13633,5400.9,3919.2,4312.9
"150","Colorectal","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",13889.4,5559.7,3919.2,4410.4
"151","Esophagus","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",1377.3,591,153.8,632.5
"152","Esophagus","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",1359.5,579.5,152.8,627.1
"153","Esophagus","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",1429.1,591,164.5,673.6
"154","Esophagus","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",1410.8,579.5,163.5,667.8
"155","Esophagus","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",1434.4,591.1,163.5,679.8
"156","Esophagus","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",1469.9,608.5,163.5,697.9
"157","Head_Neck","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",3700.4,1101,1024.8,1574.6
"158","Head_Neck","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",3548.9,999.9,1010.7,1538.3
"159","Head_Neck","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",3707.7,1101,1027.5,1579.1
"160","Head_Neck","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",3555.8,999.9,1013.4,1542.5
"161","Head_Neck","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",3604.4,1019.9,1013.4,1571.2
"162","Head_Neck","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",3677.3,1049.9,1013.4,1614.1
"163","Kidney","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",3923.9,1152.3,1646.5,1125.1
"164","Kidney","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",4153.2,1311.1,1680.1,1161.9
"165","Kidney","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",3949.9,1152.3,1661.8,1135.8
"166","Kidney","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",4181.6,1311.1,1696.8,1173.6
"167","Kidney","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4225.5,1337.4,1696.8,1191.3
"168","Kidney","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4291.4,1376.7,1696.8,1217.8
"169","Leukemia","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",5581.7,809.8,2160.8,2611.1
"170","Leukemia","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",5439.7,771.8,2118.9,2549.1
"171","Leukemia","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",5627.8,809.8,2180.6,2637.4
"172","Leukemia","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",5483.8,771.8,2137.8,2574.3
"173","Leukemia","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",5545.7,787.2,2137.8,2620.7
"174","Leukemia","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",5638.5,810.3,2137.8,2690.4
"175","Lung","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",12375.1,5355.9,1885.9,5133.3
"176","Lung","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",11446.9,4773,1837.3,4836.6
"177","Lung","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",12477.9,5355.9,1914.7,5207.3
"178","Lung","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",11539.6,4773,1863.3,4903.3
"179","Lung","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",11726.5,4868.5,1863.3,4994.7
"180","Lung","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",12006.7,5011.7,1863.3,5131.8
"181","Lymphoma","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",12451.3,3215,5023,4213.3
"182","Lymphoma","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",12379.4,3164.8,5013.6,4200.9
"183","Lymphoma","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",12515.3,3215,5056.4,4243.8
"184","Lymphoma","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",12442.8,3164.8,5046.8,4231.1
"185","Lymphoma","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",12580.5,3228.1,5046.8,4305.5
"186","Lymphoma","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",12787,3323.1,5046.8,4417
"187","Melanoma","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",2446,498.9,1607.3,339.8
"188","Melanoma","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2575.5,585.1,1634.5,355.9
"189","Melanoma","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2448.5,498.9,1609.3,340.4
"190","Melanoma","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2578.3,585.1,1636.7,356.6
"191","Melanoma","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2596.7,596.8,1636.7,363.3
"192","Melanoma","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2624.4,614.4,1636.7,373.4
"193","Ovary","2011","Females","All ages","Incidence, Survival at constant rate","0%",5216.4,1409,1687.4,2119.9
"194","Ovary","2011","Females","All ages","Incidence follows recent trend, Survival constant","0%",4704.2,1045.9,1644,2014.3
"195","Ovary","2011","Females","All ages","Survival follows recent trend, Incidence constant","0%",5252.4,1409,1701.1,2142.3
"196","Ovary","2011","Females","All ages","Incidence, Survival follow recent trends","0%",4734.1,1045.9,1655.3,2032.8
"197","Ovary","2011","Females","All ages","Incidence, Survival follow recent trends","2%",4794,1066.8,1655.3,2071.8
"198","Ovary","2011","Females","All ages","Incidence, Survival follow recent trends","5%",4883.9,1098.2,1655.3,2130.4
"199","Pancreas","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",2324,1466.3,105.1,752.6
"200","Pancreas","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2307.8,1454.8,104.8,748.2
"201","Pancreas","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2393.9,1466.3,119.8,807.8
"202","Pancreas","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2377.2,1454.8,119.4,803
"203","Pancreas","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2421.6,1483.9,119.4,818.3
"204","Pancreas","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2488.2,1527.6,119.4,841.2
"205","Prostate","2011","Males","All ages","Incidence, Survival at constant rate","0%",12219.1,4670.2,6404.7,1144.2
"206","Prostate","2011","Males","All ages","Incidence follows recent trend, Survival constant","0%",11983.9,4482.7,6363.4,1137.8
"207","Prostate","2011","Males","All ages","Survival follows recent trend, Incidence constant","0%",12228.7,4670.2,6413,1145.4
"208","Prostate","2011","Males","All ages","Incidence, Survival follow recent trends","0%",11993.3,4482.7,6371.5,1139.1
"209","Prostate","2011","Males","All ages","Incidence, Survival follow recent trends","2%",12088.1,4572.4,6371.5,1144.2
"210","Prostate","2011","Males","All ages","Incidence, Survival follow recent trends","5%",12230.2,4706.9,6371.5,1151.8
"211","Stomach","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",1858.4,849.1,235.1,774.3
"212","Stomach","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",1708,747.2,229.2,731.7
"213","Stomach","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",1885.4,849.1,240.8,795.5
"214","Stomach","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",1732.7,747.2,234.4,751.1
"215","Stomach","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",1760.9,762.1,234.4,764.4
"216","Stomach","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",1803.2,784.6,234.4,784.3
"217","Uterus","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",2654.3,1082.3,797.9,774.1
"218","Uterus","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",2565.6,1016.6,787.5,761.5
"219","Uterus","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",2653.8,1082.3,797.4,774.1
"220","Uterus","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",2565.1,1016.6,787,761.5
"221","Uterus","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",2598.4,1036.9,787,774.4
"222","Uterus","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",2648.3,1067.4,787,793.9
"223","Other","2011","Both sexes","All ages","Incidence, Survival at constant rate","0%",20134.3,4066.9,11009.7,5057.7
"224","Other","2011","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",21368.7,4455.6,11348.2,5564.9
"225","Other","2011","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",20744.2,4066.9,11510,5167.3
"226","Other","2011","Both sexes","All ages","Incidence, Survival follow recent trends","0%",21979.9,4455.6,11841.4,5682.9
"227","Other","2011","Both sexes","All ages","Incidence, Survival follow recent trends","2%",22148.7,4544.7,11841.4,5762.6
"228","Other","2011","Both sexes","All ages","Incidence, Survival follow recent trends","5%",22401.9,4678.4,11841.4,5882.1
"229","AllSites","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",130982.2,41955.3,49513.1,39513.8
"230","AllSites","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",127613.2,39300.3,49282.9,39030
"231","AllSites","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",132581.6,41955.3,50490.4,40135.9
"232","AllSites","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",129196.4,39300.3,50236.6,39659.4
"233","AllSites","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",132134.5,40888.1,50236.6,41009.8
"234","AllSites","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",136650.9,43328.6,50236.6,43085.6
"235","Bladder","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",4122.2,1016.5,1961.8,1143.9
"236","Bladder","2012","Both sexes","All ages","Incidence follows recent trend, Survival constant","0%",3978.6,940,1921.7,1116.9
"237","Bladder","2012","Both sexes","All ages","Survival follows recent trend, Incidence constant","0%",4136.6,1016.5,1970.9,1149.2
"238","Bladder","2012","Both sexes","All ages","Incidence, Survival follow recent trends","0%",3992.3,940,1930.3,1121.9
"239","Bladder","2012","Both sexes","All ages","Incidence, Survival follow recent trends","2%",4064.2,978,1930.3,1155.9
"240","Bladder","2012","Both sexes","All ages","Incidence, Survival follow recent trends","5%",4174.8,1036.4,1930.3,1208.1
"241","Brain","2012","Both sexes","All ages","Incidence, Survival at constant rate","0%",4683.1,1299.6,1122.3,2261.2
